"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
"        Estimate","249","59","1,730","101","192"
"    Percent Male","","","","",""
"        Estimate","(X)","23.7%","(X)","5.8%","11.1%"
"    Female","","","","",""
"        Estimate","193","11","1,835","71","193"
"    Percent Female","","","","",""
"        Estimate","(X)","5.7%","(X)","3.9%","10.5%"
"Comanche County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","14,079","1,427","78,537","2,227","5,177"
"    Percent","","","","",""
"        Estimate","(X)","10.1%","(X)","2.8%","6.6%"
"    Male","","","","",""
"        Estimate","8,528","979","39,764","1,098","2,464"
"    Percent Male","","","","",""
"        Estimate","(X)","11.5%","(X)","2.8%","6.2%"
"    Female","","","","",""
"        Estimate","5,551","448","38,773","1,129","2,713"
"    Percent Female","","","","",""
"        Estimate","(X)","8.1%","(X)","2.9%","7.0%"
"Cotton County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","385","111","3,848","135","431"
"    Percent","","","","",""
"        Estimate","(X)","28.8%","(X)","3.5%","11.2%"
"    Male","","","","",""
"        Estimate","225","92","1,820","46","228"
"    Percent Male","","","","",""
"        Estimate","(X)","40.9%","(X)","2.5%","12.5%"
"    Female","","","","",""
"        Estimate","160","19","2,028","89","203"
"    Percent Female","","","","",""
"        Estimate","(X)","11.9%","(X)","4.4%","10.0%"
"Craig County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","1,094","251","9,918","370","997"
"    Percent","","","","",""
"        Estimate","(X)","22.9%","(X)","3.7%","10.1%"
"    Male","","","","",""
"        Estimate","611","156","5,032","183","588"
"    Percent Male","","","","",""
"        Estimate","(X)","25.5%","(X)","3.6%","11.7%"
"    Female","","","","",""
"        Estimate","483","95","4,886","187","409"
"    Percent Female","","","","",""
"        Estimate","(X)","19.7%","(X)","3.8%","8.4%"
"Creek County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","5,833","1,001","49,584","1,132","3,588"
"    Percent","","","","",""
"        Estimate","(X)","17.2%","(X)","2.3%","7.2%"
"    Male","","","","",""
"        Estimate","2,989","511","24,232","567","1,970"
"    Percent Male","","","","",""
"        Estimate","(X)","17.1%","(X)","2.3%","8.1%"
"    Female","","","","",""
"        Estimate","2,844","490","25,352","565","1,618"
"    Percent Female","","","","",""
"        Estimate","(X)","17.2%","(X)","2.2%","6.4%"
"Custer County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","4,599","181","16,639","832","1,092"
"    Percent","","","","",""
"        Estimate","(X)","3.9%","(X)","5.0%","6.6%"
"    Male","","","","",""
"        Estimate","2,234","124","8,229","432","462"
"    Percent Male","","","","",""
"        Estimate","(X)","5.6%","(X)","5.2%","5.6%"
"    Female","","","","",""
"        Estimate","2,365","57","8,410","400","630"
"    Percent Female","","","","",""
"        Estimate","(X)","2.4%","(X)","4.8%","7.5%"
"Delaware County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","2,836","505","30,011","1,119","2,650"
"    Percent","","","","",""
"        Estimate","(X)","17.8%","(X)","3.7%","8.8%"
"    Male","","","","",""
"        Estimate","1,417","270","14,665","646","1,369"
"    Percent Male","","","","",""
"        Estimate","(X)","19.1%","(X)","4.4%","9.3%"
"    Female","","","","",""
"        Estimate","1,419","235","15,346","473","1,281"
"    Percent Female","","","","",""
"        Estimate","(X)","16.6%","(X)","3.1%","8.3%"
"Dewey County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","364","102","2,848","47","165"
"    Percent","","","","",""
"        Estimate","(X)","28.0%","(X)","1.7%","5.8%"
"    Male","","","","",""
"        Estimate","205","63","1,386","15","61"
"    Percent Male","","","","",""
"        Estimate","(X)","30.7%","(X)","1.1%","4.4%"
"    Female","","","","",""
"        Estimate","159","39","1,462","32","104"
"    Percent Female","","","","",""
"        Estimate","(X)","24.5%","(X)","2.2%","7.1%"
"Ellis County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","279","37","2,598","151","155"
"    Percent","","","","",""
"        Estimate","(X)","13.3%","(X)","5.8%","6.0%"
"    Male","","","","",""
"        Estimate","121","26","1,291","97","75"
"    Percent Male","","","","",""
"        Estimate","(X)","21.5%","(X)","7.5%","5.8%"
"    Female","","","","",""
"        Estimate","158","11","1,307","54","80"
"    Percent Female","","","","",""
"        Estimate","(X)","7.0%","(X)","4.1%","6.1%"
"Garfield County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","5,709","952","40,397","1,507","3,533"
"    Percent","","","","",""
"        Estimate","(X)","16.7%","(X)","3.7%","8.7%"
"    Male","","","","",""
"        Estimate","3,088","491","19,986","725","1,876"
"    Percent Male","","","","",""
"        Estimate","(X)","15.9%","(X)","3.6%","9.4%"
"    Female","","","","",""
"        Estimate","2,621","461","20,411","782","1,657"
"    Percent Female","","","","",""
"        Estimate","(X)","17.6%","(X)","3.8%","8.1%"
"Garvin County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","2,023","356","17,305","729","1,409"
"    Percent","","","","",""
"        Estimate","(X)","17.6%","(X)","4.2%","8.1%"
"    Male","","","","",""
"        Estimate","1,060","215","8,426","382","828"
"    Percent Male","","","","",""
"        Estimate","(X)","20.3%","(X)","4.5%","9.8%"
"    Female","","","","",""
"        Estimate","963","141","8,879","347","581"
"    Percent Female","","","","",""
"        Estimate","(X)","14.6%","(X)","3.9%","6.5%"
"Grady County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","4,790","795","37,972","1,056","2,555"
"    Percent","","","","",""
"        Estimate","(X)","16.6%","(X)","2.8%","6.7%"
"    Male","","","","",""
"        Estimate","2,476","438","18,821","577","1,314"
"    Percent Male","","","","",""
"        Estimate","(X)","17.7%","(X)","3.1%","7.0%"
"    Female","","","","",""
"        Estimate","2,314","357","19,151","479","1,241"
"    Percent Female","","","","",""
"        Estimate","(X)","15.4%","(X)","2.5%","6.5%"
"Grant County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","299","81","2,872","113","141"
"    Percent","","","","",""
"        Estimate","(X)","27.1%","(X)","3.9%","4.9%"
"    Male","","","","",""
"        Estimate","150","26","1,469","42","67"
"    Percent Male","","","","",""
"        Estimate","(X)","17.3%","(X)","2.9%","4.6%"
"    Female","","","","",""
"        Estimate","149","55","1,403","71","74"
"    Percent Female","","","","",""
"        Estimate","(X)","36.9%","(X)","5.1%","5.3%"
"Greer County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","396","78","3,985","104","625"
"    Percent","","","","",""
"        Estimate","(X)","19.7%","(X)","2.6%","15.7%"
"    Male","","","","",""
"        Estimate","183","58","2,342","65","449"
"    Percent Male","","","","",""
"        Estimate","(X)","31.7%","(X)","2.8%","19.2%"
"    Female","","","","",""
"        Estimate","213","20","1,643","39","176"
"    Percent Female","","","","",""
"        Estimate","(X)","9.4%","(X)","2.4%","10.7%"
"Harmon County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","169","21","1,709","140","142"
"    Percent","","","","",""
"        Estimate","(X)","12.4%","(X)","8.2%","8.3%"
"    Male","","","","",""
"        Estimate","74","12","839","58","43"
"    Percent Male","","","","",""
"        Estimate","(X)","16.2%","(X)","6.9%","5.1%"
"    Female","","","","",""
"        Estimate","95","9","870","82","99"
"    Percent Female","","","","",""
"        Estimate","(X)","9.5%","(X)","9.4%","11.4%"
"Harper County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","261","130","2,192","163","108"
"    Percent","","","","",""
"        Estimate","(X)","49.8%","(X)","7.4%","4.9%"
"    Male","","","","",""
"        Estimate","147","96","1,132","96","83"
"    Percent Male","","","","",""
"        Estimate","(X)","65.3%","(X)","8.5%","7.3%"
"    Female","","","","",""
"        Estimate","114","34","1,060","67","25"
"    Percent Female","","","","",""
"        Estimate","(X)","29.8%","(X)","6.3%","2.4%"
"Haskell County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","895","172","8,025","341","810"
"    Percent","","","","",""
"        Estimate","(X)","19.2%","(X)","4.2%","10.1%"
"    Male","","","","",""
"        Estimate","486","83","3,900","118","429"
"    Percent Male","","","","",""
"        Estimate","(X)","17.1%","(X)","3.0%","11.0%"
"    Female","","","","",""
"        Estimate","409","89","4,125","223","381"
"    Percent Female","","","","",""
"        Estimate","(X)","21.8%","(X)","5.4%","9.2%"
"Hughes County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","1,142","273","9,369","360","1,131"
"    Percent","","","","",""
"        Estimate","(X)","23.9%","(X)","3.8%","12.1%"
"    Male","","","","",""
"        Estimate","712","219","5,228","233","804"
"    Percent Male","","","","",""
"        Estimate","(X)","30.8%","(X)","4.5%","15.4%"
"    Female","","","","",""
"        Estimate","430","54","4,141","127","327"
"    Percent Female","","","","",""
"        Estimate","(X)","12.6%","(X)","3.1%","7.9%"
"Jackson County, Oklahoma","","","","",""
"    Total","","","","",""
"        Estimate","2,616","289","15,910","1,005","1,118"
"    Percent","","","","",""
"        Estimate","(X)","11.0%","(X)","6.3%","7.0%"
