"Label (Grouping)","Population 1 year and over"
"    Moved; from different county, same state",""
"        Estimate","6.8%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.7%"
"        Margin of Error","±0.4"
"Steele County, Minnesota",""
"    Total",""
"        Estimate","36,236"
"        Margin of Error","±106"
"    Moved; within same county",""
"        Estimate","7.1%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Stevens County, Minnesota",""
"    Total",""
"        Estimate","9,675"
"        Margin of Error","±32"
"    Moved; within same county",""
"        Estimate","7.3%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","6.0%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","3.4%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","1.2%"
"        Margin of Error","±0.8"
"Swift County, Minnesota",""
"    Total",""
"        Estimate","9,234"
"        Margin of Error","±38"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","5.8%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.3"
"Todd County, Minnesota",""
"    Total",""
"        Estimate","24,274"
"        Margin of Error","±48"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.3"
"Traverse County, Minnesota",""
"    Total",""
"        Estimate","3,287"
"        Margin of Error","±10"
"    Moved; within same county",""
"        Estimate","2.4%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","3.7%"
"        Margin of Error","±1.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Wabasha County, Minnesota",""
"    Total",""
"        Estimate","21,300"
"        Margin of Error","±65"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","3.6%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Wadena County, Minnesota",""
"    Total",""
"        Estimate","13,475"
"        Margin of Error","±48"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","4.5%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
